Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa)
82,-95.36344,0,0,0,0,0,0,0,0,-3.7971763,-1.6356857,0,0,0,0,0,-4.6291952,-45.977127,-45.658759,0,0,0,0,0,-0.10134635,-2.3008475,0,0,0,0,0,0,0,0,0
83,-95.354942,0,0,0,0,0,0,0,0,-3.7968379,-1.6355399,0,0,0,0,0,-4.6287826,-45.97303,-45.65469,0,0,0,0,0,-0.10133732,-2.3006424,0,0,0,0,0,0,0,0,0
84,-95.346445,0,0,0,0,0,0,0,0,-3.7964996,-1.6353942,0,0,0,0,0,-4.6283701,-45.968933,-45.650622,0,0,0,0,0,-0.10132829,-2.3004374,0,0,0,0,0,0,0,0,0
85,-95.337947,0,0,0,0,0,0,0,0,-3.7961612,-1.6352484,0,0,0,0,0,-4.6279576,-45.964836,-45.646553,0,0,0,0,0,-0.10131926,-2.3002324,0,0,0,0,0,0,0,0,0
86,-95.329449,0,0,0,0,0,0,0,0,-3.7958228,-1.6351027,0,0,0,0,0,-4.6275451,-45.960739,-45.642484,0,0,0,0,0,-0.10131023,-2.3000274,0,0,0,0,0,0,0,0,0
87,-95.320952,0,0,0,0,0,0,0,0,-3.7954845,-1.6349569,0,0,0,0,0,-4.6271326,-45.956642,-45.638416,0,0,0,0,0,-0.1013012,-2.2998223,0,0,0,0,0,0,0,0,0
88,-95.312454,0,0,0,0,0,0,0,0,-3.7951461,-1.6348112,0,0,0,0,0,-4.6267201,-45.952545,-45.634347,0,0,0,0,0,-0.10129217,-2.2996173,0,0,0,0,0,0,0,0,0
89,-95.303956,0,0,0,0,0,0,0,0,-3.7948078,-1.6346654,0,0,0,0,0,-4.6263076,-45.948448,-45.630279,0,0,0,0,0,-0.10128314,-2.2994123,0,0,0,0,0,0,0,0,0
90,-95.295459,0,0,0,0,0,0,0,0,-3.7944694,-1.6345197,0,0,0,0,0,-4.6258951,-45.944352,-45.62621,0,0,0,0,0,-0.10127411,-2.2992073,0,0,0,0,0,0,0,0,0
91,-95.286961,0,0,0,0,0,0,0,0,-3.794131,-1.6343739,0,0,0,0,0,-4.6254826,-45.940255,-45.622142,0,0,0,0,0,-0.10126507,-2.2990022,0,0,0,0,0,0,0,0,0
92,-95.278463,0,0,0,0,0,0,0,0,-3.7937927,-1.6342282,0,0,0,0,0,-4.6250701,-45.936158,-45.618073,0,0,0,0,0,-0.10125604,-2.2987972,0,0,0,0,0,0,0,0,0
93,-95.269966,0,0,0,0,0,0,0,0,-3.7934543,-1.6340824,0,0,0,0,0,-4.6246576,-45.932061,-45.614004,0,0,0,0,0,-0.10124701,-2.2985922,0,0,0,0,0,0,0,0,0
94,-95.261468,0,0,0,0,0,0,0,0,-3.793116,-1.6339367,0,0,0,0,0,-4.6242451,-45.927964,-45.609936,0,0,0,0,0,-0.10123798,-2.2983872,0,0,0,0,0,0,0,0,0
95,-95.25297,0,0,0,0,0,0,0,0,-3.7927776,-1.6337909,0,0,0,0,0,-4.6238326,-45.923867,-45.605867,0,0,0,0,0,-0.10122895,-2.2981821,0,0,0,0,0,0,0,0,0
