Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa)
53,13.55837,0,0.1375927,0.43353245,0.50326187,1.0041824,0.77154824,0,0,0.18701554,0.73727708,2.9291629,4.7276403,0.85591664,0,0,0.051861456,0.60233127,1.3866655,1.8854984,0.63622727,0,0,0,0,0.0075406143,0.28278348,0.10873849,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,13.729599,0,0.13933037,0.43900755,0.50961758,1.0168643,0.78129215,0,0,0.18937737,0.74658818,2.9661554,4.7873458,0.86672604,0,0,0.052516416,0.60993814,1.4041777,1.9093105,0.64426221,0,0,0,0,0.0076358451,0.28635476,0.11011176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,13.900828,0,0.14106803,0.44448264,0.5159733,1.0295461,0.79103606,0,0,0.1917392,0.75589928,3.0031479,4.8470514,0.87753545,0,0,0.053171377,0.617545,1.42169,1.9331225,0.65229715,0,0,0,0,0.0077310758,0.28992605,0.11148502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,14.072057,0,0.1428057,0.44995774,0.52232901,1.042228,0.80077998,0,0,0.19410102,0.76521039,3.0401404,4.906757,0.88834486,0,0,0.053826337,0.62515187,1.4392023,1.9569345,0.66033209,0,0,0,0,0.0078263065,0.29349733,0.11285828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,14.243286,0,0.14454336,0.45543284,0.52868473,1.0549098,0.81052389,0,0,0.19646285,0.77452149,3.0771329,4.9664625,0.89915426,0,0,0.054481298,0.63275874,1.4567145,1.9807466,0.66836703,0,0,0,0,0.0079215373,0.29706861,0.11423155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,14.414516,0,0.14628102,0.46090794,0.53504044,1.0675917,0.82026781,0,0,0.19882468,0.78383259,3.1141254,5.0261681,0.90996367,0,0,0.055136258,0.6403656,1.4742268,2.0045586,0.67640197,0,0,0,0,0.008016768,0.3006399,0.11560481,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,14.585745,0,0.14801869,0.46638304,0.54139616,1.0802736,0.83001172,0,0,0.2011865,0.79314369,3.151118,5.0858737,0.92077308,0,0,0.055791219,0.64797247,1.491739,2.0283707,0.68443691,0,0,0,0,0.0081119987,0.30421118,0.11697807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,14.756974,0,0.14975635,0.47185814,0.54775187,1.0929554,0.83975564,0,0,0.20354833,0.8024548,3.1881105,5.1455792,0.93158248,0,0,0.056446179,0.65557933,1.5092513,2.0521827,0.69247185,0,0,0,0,0.0082072295,0.30778247,0.11835133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,14.928203,0,0.15149402,0.47733324,0.55410759,1.1056373,0.84949955,0,0,0.20591016,0.8117659,3.225103,5.2052848,0.94239189,0,0,0.057101139,0.6631862,1.5267635,2.0759947,0.70050679,0,0,0,0,0.0083024602,0.31135375,0.1197246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,15.099432,0,0.15323168,0.48280834,0.5604633,1.1183192,0.85924347,0,0,0.20827198,0.821077,3.2620955,5.2649904,0.95320129,0,0,0.0577561,0.67079307,1.5442758,2.0998068,0.70854173,0,0,0,0,0.0083976909,0.31492504,0.12109786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
