Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa)
166,-3.2424846,0,0,0,0,-0.15837379,-0.021042488,0,0,0,-1.2004327,-0.22524758,0,0,0,0,0,0,-0.022195687
167,-3.2404231,0,0,0,0,-0.1582731,-0.021029109,0,0,0,-1.1996695,-0.22510438,0,0,0,0,0,0,-0.022181575
168,-3.2383616,0,0,0,0,-0.15817241,-0.021015731,0,0,0,-1.1989063,-0.22496117,0,0,0,0,0,0,-0.022167464
169,-3.2363,0,0,0,0,-0.15807172,-0.021002352,0,0,0,-1.1981431,-0.22481796,0,0,0,0,0,0,-0.022153352
170,-3.2342385,0,0,0,0,-0.15797103,-0.020988974,0,0,0,-1.1973799,-0.22467475,0,0,0,0,0,0,-0.022139241
171,-3.232177,0,0,0,0,-0.15787034,-0.020975595,0,0,0,-1.1966167,-0.22453154,0,0,0,0,0,0,-0.022125129
172,-3.2301155,0,0,0,0,-0.15776964,-0.020962217,0,0,0,-1.1958534,-0.22438833,0,0,0,0,0,0,-0.022111017
173,-3.228054,0,0,0,0,-0.15766895,-0.020948839,0,0,0,-1.1950902,-0.22424513,0,0,0,0,0,0,-0.022096906
174,-3.2259925,0,0,0,0,-0.15756826,-0.02093546,0,0,0,-1.194327,-0.22410192,0,0,0,0,0,0,-0.022082794
175,-3.223931,0,0,0,0,-0.15746757,-0.020922082,0,0,0,-1.1935638,-0.22395871,0,0,0,0,0,0,-0.022068682
176,-3.2218695,0,0,0,0,-0.15736688,-0.020908703,0,0,0,-1.1928006,-0.2238155,0,0,0,0,0,0,-0.022054571
