Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa)
213,-6.7266674,0,0,0,0,-2.5348561,-3.7548242,0,0,0,0,0
214,-6.7399272,0,0,0,0,-2.5398529,-3.7622258,0,0,0,0,0
215,-6.7531871,0,0,0,0,-2.5448496,-3.7696275,0,0,0,0,0
216,-6.7664469,0,0,0,0,-2.5498464,-3.7770291,0,0,0,0,0
217,-6.7797067,0,0,0,0,-2.5548432,-3.7844307,0,0,0,0,0
218,-6.7929666,0,0,0,0,-2.55984,-3.7918324,0,0,0,0,0
219,-6.8062264,0,0,0,0,-2.5648368,-3.799234,0,0,0,0,0
220,-6.8194862,0,0,0,0,-2.5698336,-3.8066356,0,0,0,0,0
221,-6.832746,0,0,0,0,-2.5748304,-3.8140373,0,0,0,0,0
222,-6.8460059,0,0,0,0,-2.5798272,-3.8214389,0,0,0,0,0
223,-6.8592657,0,0,0,0,-2.584824,-3.8288405,0,0,0,0,0
224,-6.8725255,0,0,0,0,-2.5898208,-3.8362422,0,0,0,0,0
225,-6.8857854,0,0,0,0,-2.5948176,-3.8436438,0,0,0,0,0
226,-6.8990452,0,0,0,0,-2.5998144,-3.8510454,0,0,0,0,0
227,-6.912305,0,0,0,0,-2.6048111,-3.8584471,0,0,0,0,0
228,-6.9255648,0,0,0,0,-2.6098079,-3.8658487,0,0,0,0,0
229,-6.9388247,0,0,0,0,-2.6148047,-3.8732503,0,0,0,0,0
230,-6.9520845,0,0,0,0,-2.6198015,-3.880652,0,0,0,0,0
231,-6.9653443,0,0,0,0,-2.6247983,-3.8880536,0,0,0,0,0
232,-6.9786042,0,0,0,0,-2.6297951,-3.8954552,0,0,0,0,0
233,-6.991864,0,0,0,0,-2.6347919,-3.9028569,0,0,0,0,0
234,-7.0051238,0,0,0,0,-2.6397887,-3.9102585,0,0,0,0,0
235,-7.0183836,0,0,0,0,-2.6447855,-3.9176601,0,0,0,0,0
236,-7.0316435,0,0,0,0,-2.6497823,-3.9250618,0,0,0,0,0
237,-7.0449033,0,0,0,0,-2.6547791,-3.9324634,0,0,0,0,0
238,-7.0581631,0,0,0,0,-2.6597759,-3.939865,0,0,0,0,0
239,-7.071423,0,0,0,0,-2.6647726,-3.9472667,0,0,0,0,0
240,-7.0846828,0,0,0,0,-2.6697694,-3.9546683,0,0,0,0,0
241,-7.0979426,0,0,0,0,-2.6747662,-3.9620699,0,0,0,0,0
242,-7.1112024,0,0,0,0,-2.679763,-3.9694716,0,0,0,0,0
243,-7.1244623,0,0,0,0,-2.6847598,-3.9768732,0,0,0,0,0
244,-7.1377221,0,0,0,0,-2.6897566,-3.9842748,0,0,0,0,0
245,-7.1509819,0,0,0,0,-2.6947534,-3.9916765,0,0,0,0,0
246,-7.1642418,0,0,0,0,-2.6997502,-3.9990781,0,0,0,0,0
247,-7.1775016,0,0,0,0,-2.704747,-4.0064797,0,0,0,0,0
248,-7.1907614,0,0,0,0,-2.7097438,-4.0138814,0,0,0,0,0
249,-7.2040212,0,0,0,0,-2.7147406,-4.021283,0,0,0,0,0
250,-7.2172811,0,0,0,0,-2.7197374,-4.0286846,0,0,0,0,0
251,-7.18367,0,0,0,0,-2.7070715,-4.0099229,0,0,0,0,0
252,-7.1500589,0,0,0,0,-2.6944056,-3.9911612,0,0,0,0,0
253,-7.1164478,0,0,0,0,-2.6817397,-3.9723995,0,0,0,0,0
254,-7.0828367,0,0,0,0,-2.6690738,-3.9536378,0,0,0,0,0
255,-7.0492257,0,0,0,0,-2.6564079,-3.9348761,0,0,0,0,0
256,-7.0156146,0,0,0,0,-2.643742,-3.9161144,0,0,0,0,0
257,-6.9820035,0,0,0,0,-2.6310761,-3.8973527,0,0,0,0,0
258,-6.9483924,0,0,0,0,-2.6184102,-3.878591,0,0,0,0,0
259,-6.9147813,0,0,0,0,-2.6057443,-3.8598293,0,0,0,0,0
260,-6.8811702,0,0,0,0,-2.5930784,-3.8410676,0,0,0,0,0
261,-6.8475592,0,0,0,0,-2.5804125,-3.8223059,0,0,0,0,0
262,-6.8139481,0,0,0,0,-2.5677466,-3.8035442,0,0,0,0,0
263,-6.780337,0,0,0,0,-2.5550807,-3.7847825,0,0,0,0,0
264,-6.7467259,0,0,0,0,-2.5424148,-3.7660208,0,0,0,0,0
265,-6.7131148,0,0,0,0,-2.5297489,-3.7472592,0,0,0,0,0
266,-6.6795037,0,0,0,0,-2.5170831,-3.7284975,0,0,0,0,0
267,-6.6458927,0,0,0,0,-2.5044172,-3.7097358,0,0,0,0,0
268,-6.6122816,0,0,0,0,-2.4917513,-3.6909741,0,0,0,0,0
269,-6.5786705,0,0,0,0,-2.4790854,-3.6722124,0,0,0,0,0
270,-6.5450594,0,0,0,0,-2.4664195,-3.6534507,0,0,0,0,0
271,-6.5114483,0,0,0,0,-2.4537536,-3.634689,0,0,0,0,0
272,-6.4778372,0,0,0,0,-2.4410877,-3.6159273,0,0,0,0,0
273,-6.4442262,0,0,0,0,-2.4284218,-3.5971656,0,0,0,0,0
274,-6.4106151,0,0,0,0,-2.4157559,-3.5784039,0,0,0,0,0
275,-6.377004,0,0,0,0,-2.40309,-3.5596422,0,0,0,0,0
276,-6.3433929,0,0,0,0,-2.3904241,-3.5408805,0,0,0,0,0
277,-6.3097818,0,0,0,0,-2.3777582,-3.5221188,0,0,0,0,0
278,-6.2761707,0,0,0,0,-2.3650923,-3.5033571,0,0,0,0,0
279,-6.2425597,0,0,0,0,-2.3524264,-3.4845954,0,0,0,0,0
280,-6.2089486,0,0,0,0,-2.3397605,-3.4658337,0,0,0,0,0
281,-6.1753375,0,0,0,0,-2.3270946,-3.447072,0,0,0,0,0
282,-6.1417264,0,0,0,0,-2.3144287,-3.4283103,0,0,0,0,0
283,-6.1081153,0,0,0,0,-2.3017629,-3.4095486,0,0,0,0,0
284,-6.0745043,0,0,0,0,-2.289097,-3.3907869,0,0,0,0,0
285,-6.0408932,0,0,0,0,-2.2764311,-3.3720252,0,0,0,0,0
286,-6.0072821,0,0,0,0,-2.2637652,-3.3532635,0,0,0,0,0
287,-5.973671,0,0,0,0,-2.2510993,-3.3345018,0,0,0,0,0
288,-5.9400599,0,0,0,0,-2.2384334,-3.3157401,0,0,0,0,0
289,-5.9064488,0,0,0,0,-2.2257675,-3.2969784,0,0,0,0,0
290,-5.8728378,0,0,0,0,-2.2131016,-3.2782167,0,0,0,0,0
291,-5.8392267,0,0,0,0,-2.2004357,-3.259455,0,0,0,0,0
292,-5.8056156,0,0,0,0,-2.1877698,-3.2406933,0,0,0,0,0
293,-5.7720045,0,0,0,0,-2.1751039,-3.2219316,0,0,0,0,0
294,-5.7383934,0,0,0,0,-2.162438,-3.2031699,0,0,0,0,0
295,-5.7047823,0,0,0,0,-2.1497721,-3.1844082,0,0,0,0,0
296,-5.6711713,0,0,0,0,-2.1371062,-3.1656465,0,0,0,0,0
297,-5.6375602,0,0,0,0,-2.1244403,-3.1468848,0,0,0,0,0
298,-5.6039491,0,0,0,0,-2.1117744,-3.1281231,0,0,0,0,0
