Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa)
1819.9999,376.36318,0,0,0,0,0,0,38.521916,0,0,0,0,26.373539,134.3929,0,0,0,0,0,0
1820.9999,376.36168,0,0,0,0,0,0,38.521762,0,0,0,0,26.373433,134.39237,0,0,0,0,0,0
1821.9999,376.36017,0,0,0,0,0,0,38.521607,0,0,0,0,26.373328,134.39183,0,0,0,0,0,0
1822.9999,376.35867,0,0,0,0,0,0,38.521453,0,0,0,0,26.373222,134.39129,0,0,0,0,0,0
1823.9999,376.35716,0,0,0,0,0,0,38.521299,0,0,0,0,26.373117,134.39075,0,0,0,0,0,0
1824.9999,376.35565,0,0,0,0,0,0,38.521145,0,0,0,0,26.373011,134.39022,0,0,0,0,0,0
1825.9999,376.35415,0,0,0,0,0,0,38.520991,0,0,0,0,26.372905,134.38968,0,0,0,0,0,0
1826.9999,376.35264,0,0,0,0,0,0,38.520837,0,0,0,0,26.3728,134.38914,0,0,0,0,0,0
1827.9999,376.35114,0,0,0,0,0,0,38.520683,0,0,0,0,26.372694,134.3886,0,0,0,0,0,0
1828.9999,376.34963,0,0,0,0,0,0,38.520529,0,0,0,0,26.372589,134.38806,0,0,0,0,0,0
1829.9999,376.34813,0,0,0,0,0,0,38.520375,0,0,0,0,26.372483,134.38753,0,0,0,0,0,0
1830.9999,376.34662,0,0,0,0,0,0,38.520221,0,0,0,0,26.372378,134.38699,0,0,0,0,0,0
